City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Baturaja,ID,2021-12-12 23:51:07,-4.1333,104.1667,74.73,96,84,1.99
68,Nouadhibou,MR,2021-12-12 23:51:07,20.931,-17.0347,66.18,72,0,20.71
69,Saint Anthony,US,2021-12-12 23:51:08,45.0205,-93.218,33.82,70,1,4.0
70,Todos Santos,MX,2021-12-12 23:51:08,23.45,-110.2167,75.0,69,55,4.0
71,Khatanga,RU,2021-12-12 23:51:09,71.9667,102.5,-50.75,99,80,4.47
72,Chinsali,ZM,2021-12-12 23:51:09,-10.5414,32.0816,64.13,74,59,0.74
73,Saint-Philippe,RE,2021-12-12 23:51:10,-21.3585,55.7679,76.59,74,74,11.39
74,Barrow,US,2021-12-12 23:51:10,71.2906,-156.7887,-12.98,77,1,13.8
75,Sitka,US,2021-12-12 23:51:10,57.0531,-135.33,35.49,69,90,4.61
76,Yellowknife,CA,2021-12-12 23:51:11,62.456,-114.3525,8.56,89,90,8.05
77,Port Lincoln,AU,2021-12-12 23:51:11,-34.7333,135.8667,63.5,60,90,13.78
78,Hermanus,ZA,2021-12-12 23:51:11,-34.4187,19.2345,62.91,88,68,6.4
79,Atambua,ID,2021-12-12 23:51:12,-9.1061,124.8925,80.78,75,86,0.56
80,Amazar,RU,2021-12-12 23:51:12,53.858,120.875,-3.08,98,100,1.16
81,Puerto Ayora,EC,2021-12-12 23:51:12,-0.7393,-90.3518,69.26,92,99,7.4
82,Wum,CM,2021-12-12 23:51:13,6.3833,10.0667,68.36,36,50,2.89
83,Clyde River,CA,2021-12-12 23:46:19,70.4692,-68.5914,-1.97,92,90,11.5
84,Vilhena,BR,2021-12-12 23:51:13,-12.7406,-60.1458,71.82,94,75,4.61
85,Korla,CN,2021-12-12 23:51:13,41.7597,86.1469,16.83,75,14,1.81
86,Nalut,LY,2021-12-12 23:51:14,30.3333,10.85,44.02,60,4,8.19
87,Mataura,NZ,2021-12-12 23:51:14,-46.1927,168.8643,64.47,36,54,3.74
88,Arraial Do Cabo,BR,2021-12-12 23:51:15,-22.9661,-42.0278,75.29,95,89,14.74
89,Castro,BR,2021-12-12 23:52:15,-24.7911,-50.0119,69.82,55,93,4.81
90,Anton Lizardo,MX,2021-12-12 23:52:16,19.05,-95.9833,74.21,74,0,21.59
91,Bandundu,CD,2021-12-12 23:52:16,-3.3167,17.3667,69.93,98,100,2.64
92,Forbes,AU,2021-12-12 23:52:17,-33.3833,148.0167,77.86,36,0,2.19
93,Faanui,PF,2021-12-12 23:52:17,-16.4833,-151.75,81.27,73,45,11.12
94,Mar Del Plata,AR,2021-12-12 23:52:18,-38.0023,-57.5575,71.62,84,40,11.99
95,Butaritari,KI,2021-12-12 23:52:18,3.0707,172.7902,82.8,70,78,15.77
96,Fortuna,US,2021-12-12 23:52:18,40.5982,-124.1573,52.66,77,90,1.99
97,Georgetown,MY,2021-12-12 23:50:31,5.4112,100.3354,78.89,83,20,1.99
98,Hithadhoo,MV,2021-12-12 23:52:19,-0.6,73.0833,80.87,79,99,11.01
99,Oranjemund,NA,2021-12-12 23:52:19,-28.55,16.4333,61.27,94,55,2.42
100,Mayumba,GA,2021-12-12 23:52:20,-3.432,10.6554,76.39,90,93,1.32
101,Bengkulu,ID,2021-12-12 23:52:20,-3.8004,102.2655,75.96,86,100,3.85
102,Poli,TZ,2021-12-12 23:52:20,-3.3333,36.8,59.52,93,76,2.84
103,Kavaratti,IN,2021-12-12 23:52:21,10.5669,72.642,81.45,71,88,2.82
104,Kapaa,US,2021-12-12 23:52:21,22.0752,-159.319,80.58,74,40,3.0
105,Kodiak,US,2021-12-12 23:52:21,57.79,-152.4072,15.28,62,20,25.32
106,Mount Gambier,AU,2021-12-12 23:52:22,-37.8333,140.7667,66.11,68,90,11.5
107,Husavik,IS,2021-12-12 23:52:22,66.0449,-17.3389,37.31,79,95,13.8
108,Bonfim,BR,2021-12-12 23:52:22,3.0833,-59.95,79.16,77,100,8.28
109,Pevek,RU,2021-12-12 23:52:23,69.7008,170.3133,-32.73,96,12,2.59
110,Harlingen,US,2021-12-12 23:50:44,26.1906,-97.6961,67.33,56,90,11.5
111,Kyra,RU,2021-12-12 23:52:23,49.5776,111.9753,4.53,85,100,3.44
112,Luanda,AO,2021-12-12 23:52:23,-8.8368,13.2343,78.8,83,75,2.3
113,Kruisfontein,ZA,2021-12-12 23:52:24,-34.0033,24.7314,68.88,96,100,7.11
114,Troitsk,RU,2021-12-12 23:52:24,54.0979,61.5773,11.32,85,34,4.97
115,Balabac,PH,2021-12-12 23:52:24,7.9868,117.0645,82.54,79,78,15.19
116,Chokurdakh,RU,2021-12-12 23:52:25,70.6333,147.9167,-37.97,97,99,1.83
117,Vanimo,PG,2021-12-12 23:52:25,-2.6741,141.3028,83.21,77,100,6.42
118,Ixtapa,MX,2021-12-12 23:52:25,20.7,-105.2,78.22,86,7,4.0
119,Fort Nelson,CA,2021-12-12 23:50:41,58.8053,-122.7002,0.99,85,75,4.61
120,Grand Baie,MU,2021-12-12 23:52:26,-20.0182,57.5802,74.44,75,81,3.0
121,Bulawayo,ZW,2021-12-12 23:52:26,-20.15,28.5833,74.79,39,70,12.01
122,Mosquera,CO,2021-12-12 23:47:41,4.7059,-74.2302,55.49,88,40,9.22
123,Kawalu,ID,2021-12-12 23:52:27,-7.3817,108.2082,75.51,89,100,1.48
124,Lagoa,PT,2021-12-12 23:52:27,39.05,-27.9833,57.52,54,100,20.87
125,Hualmay,PE,2021-12-12 23:52:28,-11.0964,-77.6139,68.52,84,69,9.64
126,Coos Bay,US,2021-12-12 23:52:28,43.3665,-124.2179,48.92,92,90,9.22
127,Vasilyevskiy Mokh,RU,2021-12-12 23:52:28,57.0132,35.919,28.18,95,100,8.28
128,Avarua,CK,2021-12-12 23:52:29,-21.2078,-159.775,73.45,94,90,8.05
129,Kaitangata,NZ,2021-12-12 23:52:29,-46.2817,169.8464,59.94,67,55,6.49
130,Kamaishi,JP,2021-12-12 23:52:29,39.2667,141.8833,31.15,66,56,23.85
131,Marquette,US,2021-12-12 23:52:30,46.5333,-87.6335,39.69,56,78,10.85
132,La Palma,US,2021-12-12 23:52:30,33.8464,-118.0467,68.27,46,1,3.0
133,Cherskiy,RU,2021-12-12 23:52:30,68.75,161.3,-42.83,100,53,1.72
134,Jerantut,MY,2021-12-12 23:52:31,3.936,102.3626,72.36,97,95,2.17
135,Seabra,BR,2021-12-12 23:52:31,-12.4186,-41.7703,66.96,93,100,1.41
136,Karratha,AU,2021-12-12 23:53:32,-20.7377,116.8463,93.51,20,0,9.44
137,Bizhbulyak,RU,2021-12-12 23:53:32,53.6967,54.2642,5.72,90,19,1.05
138,Tasiilaq,GL,2021-12-12 23:53:32,65.6145,-37.6368,34.27,81,100,12.41
139,Biskamzha,RU,2021-12-12 23:53:32,53.4497,89.5272,7.7,98,100,5.46
140,Seoul,KR,2021-12-12 23:49:06,37.5683,126.9778,24.24,50,0,3.44
141,Smithers,CA,2021-12-12 23:53:33,54.7804,-127.1743,14.32,85,40,4.61
142,Viedma,AR,2021-12-12 23:53:33,-40.8135,-62.9967,66.16,38,68,24.54
143,Esqueda,MX,2021-12-12 23:53:34,30.7167,-109.5833,60.8,35,3,4.76
144,Cururupu,BR,2021-12-12 23:53:34,-1.8283,-44.8683,78.8,85,50,5.01
145,Kavieng,PG,2021-12-12 23:53:34,-2.5744,150.7967,84.94,72,100,8.75
146,Rogozno,PL,2021-12-12 23:53:35,52.7523,16.9905,32.29,96,84,6.46
147,Bantry,IE,2021-12-12 23:53:35,51.6833,-9.45,40.48,84,88,3.2
148,Saint George,US,2021-12-12 23:53:35,37.1041,-113.5841,57.67,37,1,1.99
149,Saldanha,ZA,2021-12-12 23:53:36,-33.0117,17.9442,60.85,91,92,12.91
150,Nome,US,2021-12-12 23:49:56,64.5011,-165.4064,-11.13,59,1,0.0
151,Illapel,CL,2021-12-12 23:53:37,-31.6308,-71.1653,61.52,67,0,5.35
152,Flagstaff,US,2021-12-12 23:52:15,35.1981,-111.6513,47.86,31,1,11.5
153,Zhangye,CN,2021-12-12 23:53:38,38.9342,100.4517,18.7,45,0,3.56
154,Nainpur,IN,2021-12-12 23:53:38,22.4333,80.1167,54.05,53,3,3.33
155,Rio Brilhante,BR,2021-12-12 23:53:38,-21.8019,-54.5464,71.19,83,100,1.12
156,Ponta Do Sol,PT,2021-12-12 23:53:38,32.6667,-17.1,64.13,78,41,1.68
157,Mahebourg,MU,2021-12-12 23:53:39,-20.4081,57.7,74.25,88,75,3.44
158,Kudahuvadhoo,MV,2021-12-12 23:53:39,2.6708,72.8944,79.56,80,97,4.59
159,Pisco,PE,2021-12-12 23:49:27,-13.7,-76.2167,68.05,83,40,16.11
160,Westport,US,2021-12-12 23:51:19,41.1415,-73.3579,46.74,49,1,4.0
161,Mount Isa,AU,2021-12-12 23:53:40,-20.7333,139.5,96.57,11,7,10.36
162,Aklavik,CA,2021-12-12 23:53:40,68.2191,-135.0107,-3.17,90,100,21.43
163,Pangai,TO,2021-12-12 23:52:19,-19.8,-174.35,84.31,70,40,10.36
164,Balkhash,KZ,2021-12-12 23:53:41,46.844,74.9804,28.92,96,100,4.14
165,Central Point,US,2021-12-12 23:53:42,42.376,-122.9164,44.29,85,100,1.99
166,Valdivia,CL,2021-12-12 23:53:42,-39.8142,-73.2459,59.09,77,44,3.47
167,Hasaki,JP,2021-12-12 23:53:43,35.7333,140.8333,50.4,50,65,19.22
168,Bethel,US,2021-12-12 23:53:43,41.3712,-73.414,42.93,50,0,6.42
169,Obidos,BR,2021-12-12 23:53:43,-1.9175,-55.5181,77.09,91,100,2.71
170,Chiang Mai,TH,2021-12-12 23:53:44,18.75,99.0,67.33,95,20,2.3
171,Cubara,CO,2021-12-12 23:53:44,7.0008,-72.1085,77.11,69,93,3.13
