City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
370,Ugoofaaru,MV,79.95,overcast clouds,5.6667,73.0,Ungoofaaru Inn
372,Taquarituba,BR,77.68,overcast clouds,-23.5331,-49.2444,Lady Laura Hotel
373,Xuddur,SO,78.15,broken clouds,4.1213,43.8894,Banjanay Hotel
374,Basoko,CD,76.8,overcast clouds,1.2391,23.616,Jackyna Hotel
379,Santa Cruz,BO,84.25,broken clouds,-17.8,-63.1667,Aviador Hotel Boutique
380,Saint-Georges,GD,78.48,broken clouds,12.0564,-61.7485,Radisson Grenada Beach Resort
381,San Policarpo,PH,79.54,overcast clouds,12.1791,125.5072,Agapita M. Nicart
390,Daru,PG,76.14,light rain,-9.0763,143.2092,Daru Lodge
393,Gainesville,US,78.71,overcast clouds,29.6516,-82.3248,"Holiday Inn Gainesville-University Ctr, an IHG Hotel"
409,Vao,NC,76.44,moderate rain,-22.6667,167.4833,Hotel Kou-Bugny
412,Weligama,LK,75.11,overcast clouds,5.9667,80.4167,Weligama Bay Resort
423,Boali,CF,82.27,scattered clouds,4.8005,18.1275,Auberge des Cocotiers Boali poste
426,Takoradi,GH,80.76,broken clouds,4.8845,-1.7554,Raybow International Hotel
428,Ampanihy,MG,84.87,overcast clouds,-24.7,44.75,Angora Hotel
430,Mucurapo,TT,82.45,overcast clouds,10.6667,-61.5333,Courtyard by Marriott Port of Spain
436,Durban,ZA,78.03,light rain,-29.8579,31.0292,Hilton Durban
438,San Cristobal,VE,77.18,broken clouds,7.7669,-72.225,Posada Villaven C.A.
439,Mazamari,PE,79.95,overcast clouds,-11.3258,-74.5308,Hospedaje Ratto
442,Paita,PE,79.36,broken clouds,-5.0892,-81.1144,Hotel Náutico de Paita
443,Talara,PE,79.56,clear sky,-4.5772,-81.2719,Hostal Oro Negro
446,Matara,LK,75.49,overcast clouds,5.9485,80.5353,Amaloh Boutique Resort
448,Manokwari,ID,79.54,overcast clouds,-0.8667,134.0833,Swiss Belhotel Manokwari
453,Indramayu,ID,80.47,overcast clouds,-6.3264,108.32,Grand Trisula Hotel
458,Pitimbu,BR,82.99,broken clouds,-7.4706,-34.8086,Reserva do Abiaí
461,Lae,PG,78.46,overcast clouds,-6.7221,146.9847,Phils Hotel
462,Finschhafen,PG,81.91,overcast clouds,-6.6024,147.8681,Cossam Guest House
463,Morondava,MG,76.51,light rain,-20.2833,44.2833,La Case Bambou
464,Poya,NC,77.18,moderate rain,-21.35,165.15,
466,Guarapari,BR,78.69,light rain,-20.6667,-40.4975,Hotel Porto do Sol
467,Nortelandia,BR,79.18,overcast clouds,-14.4547,-56.8028,Hotel Karysmã
469,San Juan,AR,80.89,few clouds,-31.5375,-68.5364,Hotel Provincial
472,Beloha,MG,76.66,broken clouds,-25.1667,45.05,
474,San Felipe,VE,80.91,overcast clouds,10.3399,-68.7425,Posada Llovizna Rodríguez
475,Makakilo City,US,79.61,overcast clouds,21.3469,-158.0858,Marriott's Ko Olina Beach Club
480,Alvaraes,BR,85.87,overcast clouds,-3.2208,-64.8042,Av. Castelo Branco. Ginásio Ermelino vieira.
482,Boffa,GN,80.51,broken clouds,10.1667,-14.0333,Hôtel Niara Belly
483,Fuerte Olimpo,PY,83.35,heavy intensity rain,-21.0415,-57.8738,Hospedaje DAMI
487,Booue,GA,75.6,overcast clouds,-0.0921,11.9385,Splendeur de l'équateur
489,Gbarnga,LR,75.69,few clouds,6.9956,-9.4722,Passion Hotel 2
492,Macae,BR,85.87,mist,-22.3708,-41.7869,Personal Hotel
495,The Valley,AI,82.54,scattered clouds,18.217,-63.0578,CeBlue Villas & Beach Resort
498,Muli,MV,79.34,light rain,2.9167,73.5667,Medhufushi Island Resort
500,Santa Rosa,PH,77.11,scattered clouds,14.3122,121.1114,Erlyn’s Sta Rosa City Home
501,Muana,BR,82.6,overcast clouds,-1.5283,-49.2167,Pousada Bella do Marajó
503,Charqueadas,BR,89.46,overcast clouds,-29.9547,-51.6253,Hotel Ouro Verde
506,Key West,US,81.0,clear sky,24.5557,-81.7826,Fairfield Inn & Suites by Marriott Key West
508,Makaha,US,80.98,overcast clouds,21.4694,-158.2175,Hawaiian Princess Resort
514,Cotonou,BJ,84.18,scattered clouds,6.3654,2.4183,Novotel Cotonou Orisha
527,Eydhafushi,MV,79.38,overcast clouds,5.1033,73.0708,Soneva Fushi
532,Lufilufi,WS,83.98,scattered clouds,-13.8745,-171.5986,Leuaina Beach Resort and Spa
533,Townsville,AU,79.68,few clouds,-19.25,146.8,Rydges Southbank Townsville
534,Vila Velha,BR,78.75,broken clouds,-20.3297,-40.2925,Quality Suites Vila Velha
536,Gorontalo,ID,75.29,overcast clouds,0.5412,123.0595,Maqna Hotel by Prasanthi
541,Sola,VU,81.19,very heavy rain,-13.8833,167.55,Leumerus Bungalows
548,Lookan,PH,80.65,overcast clouds,5.037,120.1027,
551,Sarangani,PH,81.95,broken clouds,5.4033,125.4636,Ballistic Islet
555,Monrovia,LR,78.57,broken clouds,6.3005,-10.7969,Sunset Inn
561,Oranjestad,AW,84.9,few clouds,12.524000000000001,-70.027,Divi Village Golf & Beach Resort
562,Bahia Blanca,AR,80.71,clear sky,-38.7196,-62.2724,Hotel Argos
572,Puerto El Triunfo,SV,86.77,clear sky,13.2833,-88.55,Hotel Jardin
576,Alvorada,BR,76.69,moderate rain,-12.48,-49.1247,Cristal Plaza Hotel
583,Port Hedland,AU,78.85,scattered clouds,-20.3167,118.5667,The Esplanade Hotel
584,Katherine,AU,82.72,scattered clouds,-14.4667,132.2667,Pine Tree Motel
587,Pimenta Bueno,BR,79.92,overcast clouds,-11.6725,-61.1936,Cristalina Palace Hotel
598,Tabou,CI,80.35,broken clouds,4.423,-7.3528,hotêl doufoulougou
610,Eirunepe,BR,82.83,overcast clouds,-6.6603,-69.8736,Atrás de você
614,Kita,ML,80.73,scattered clouds,13.0349,-9.4895,Hôtel Chat Rouge
620,Coro,VE,82.98,broken clouds,11.4045,-69.6734,Federal
624,Dakar,SN,77.88,overcast clouds,14.6937,-17.4441,Redface Studios Meublés
633,Boyolangu,ID,77.2,broken clouds,-8.1181,111.8935,Yos ega cv
640,Natal,BR,81.16,broken clouds,-5.795,-35.2094,Villa Park Hotel | Natal
641,Kavaratti,IN,81.91,overcast clouds,10.5669,72.642,Hotels in Lakshadweep Islands
642,Tanabi,BR,76.93,overcast clouds,-20.6264,-49.6492,Point Hotel em Tanabi - SP
649,Gamba,GA,77.79,overcast clouds,-2.65,10.0,
650,Alofi,NU,78.22,clear sky,-19.0595,-169.9187,Taloa Heights
659,Cockburn Town,TC,79.99,clear sky,21.4612,-71.1419,Osprey Beach Hotel
662,Iralaya,HN,80.19,few clouds,15.0,-83.2333,Iglesia morava renovada
672,San-Pedro,CI,80.28,scattered clouds,4.7485,-6.6363,Hotel Maria
677,Mackay,AU,78.67,broken clouds,-21.15,149.2,International Lodge Motel
682,Nioro,GM,81.07,scattered clouds,13.35,-15.75,
684,Juba,SS,82.56,broken clouds,4.8517,31.5825,ROYAL PALACE HOTEL - JUBA
688,Luanda,AO,77.16,overcast clouds,-8.8368,13.2343,Hotel Fórum
689,Nargana,PA,80.98,broken clouds,9.4428,-78.5906,Dubbir
690,Daoukro,CI,80.33,scattered clouds,7.0591,-3.9631,Komenan brou roseline
691,Anloga,GH,81.59,overcast clouds,5.7947,0.8973,Pin Drop Hotel
694,Quatre Cocos,MU,75.09,light rain,-20.2078,57.7625,Sunrise Attitude Hotel
697,Nieuw Amsterdam,SR,82.42,few clouds,5.8833,-55.0833,Hotel Stardust
704,Beboto,TD,75.67,broken clouds,8.2668,16.939,
