City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Havelock,US,34.8791,-76.9013,62.83,63,1,8.05,clear sky
80,Kirakira,SB,-10.4544,161.9205,81.66,86,100,11.77,heavy intensity rain
81,Torbay,CA,47.6666,-52.7314,40.75,79,90,24.16,light rain
82,Rincon,US,32.296,-81.2354,69.76,60,20,3.44,few clouds
83,Bambanglipuro,ID,-7.95,110.2833,60.6,84,89,5.23,overcast clouds
84,Beloyarskiy,RU,63.7119,66.6722,11.1,93,100,7.72,overcast clouds
85,Ribeira Grande,PT,38.5167,-28.7,55.8,67,20,11.5,few clouds
86,Calama,CL,-22.4667,-68.9333,72.09,18,5,26.46,clear sky
87,Maymyo,MM,22.0333,96.4667,54.9,88,11,1.72,few clouds
88,Castro,BR,-24.7911,-50.0119,74.88,63,100,2.01,overcast clouds
89,Arraial Do Cabo,BR,-22.9661,-42.0278,85.96,74,40,4.61,scattered clouds
90,Alyangula,AU,-13.8483,136.4192,76.87,94,100,3.44,overcast clouds
91,Cape Town,ZA,-33.9258,18.4232,65.08,81,20,5.01,few clouds
92,Khorixas,NA,-20.3667,14.9667,74.61,25,36,9.08,scattered clouds
93,Atuona,PF,-9.8,-139.0333,78.57,73,36,19.77,scattered clouds
94,Sakaiminato,JP,35.55,133.2333,35.58,93,20,3.44,few clouds
95,Hilo,US,19.7297,-155.09,80.28,44,90,0.0,moderate rain
96,Maarianhamina,AX,60.0973,19.9348,39.06,87,90,14.97,overcast clouds
97,Coihaique,CL,-45.5752,-72.0662,57.15,41,90,9.22,overcast clouds
98,Dali,CN,25.7,100.1833,42.78,88,2,4.12,clear sky
99,Margate,GB,51.3813,1.3862,50.31,76,100,1.01,overcast clouds
100,Iquitos,PE,-3.7481,-73.2472,91.44,58,75,8.05,broken clouds
101,Lagoa,PT,39.05,-27.9833,58.78,55,100,4.03,overcast clouds
102,Zyryanka,RU,65.75,150.85,-25.71,95,100,12.5,overcast clouds
103,Ostersund,SE,63.1792,14.6357,27.05,100,75,6.91,broken clouds
104,La Libertad,EC,-2.2333,-80.9,76.66,78,90,12.66,overcast clouds
105,Erzin,TR,36.9559,36.2,59.52,48,100,7.54,overcast clouds
106,Semnan,IR,35.5729,53.3971,41.4,52,0,2.26,clear sky
107,Northam,GB,51.0333,-4.2167,54.43,92,100,11.21,overcast clouds
108,Bose,IT,45.4612,8.0137,44.17,72,1,3.2,clear sky
